,Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3
105,1/1/2017 17:30,15.11,59.53,0.076,97.6,120.6,35793.41772,22238.29787,23942.16867
106,1/1/2017 17:40,14.93,60.83,0.077,76.5,94.0,38321.01266,23613.37386,25179.75904
107,1/1/2017 17:50,14.71,61.87,0.086,26.51,28.08,39129.11392,24167.78116,25520.96386
108,1/1/2017 18:00,14.48,63.27,0.08,18.0,18.29,39560.50633,24455.92705,25544.09639
109,1/1/2017 18:10,14.29,63.94,0.078,6.994,7.02,39517.97468,24463.22188,25619.27711
110,1/1/2017 18:20,14.09,64.87,0.078,2.818,2.763,39596.96203,24000.0,25798.55422
111,1/1/2017 18:30,13.89,66.11,0.076,0.809,0.89,39469.36709,24251.67173,25792.77108
112,1/1/2017 18:40,13.79,66.74,0.076,0.146,0.197,39682.02532,24401.21581,25734.93976
113,1/1/2017 18:50,13.54,66.71,0.076,0.062,0.089,39888.60759,24598.17629,25885.3012
114,1/1/2017 19:00,12.51,68.35,0.077,0.055,0.085,39991.89873,24477.81155,25989.39759
115,1/1/2017 19:10,12.06,70.2,0.078,0.066,0.096,40210.63291,24729.48328,26035.66265
116,1/1/2017 19:20,11.75,70.7,0.079,0.055,0.126,40216.70886,24671.12462,26191.80723
117,1/1/2017 19:30,11.61,70.7,0.077,0.081,0.126,40435.44304,24678.41945,26105.06024
118,1/1/2017 19:40,11.5,70.6,0.078,0.059,0.074,40514.43038,24842.55319,26342.16867
119,1/1/2017 19:50,11.43,70.7,0.076,0.048,0.093,40544.81013,24755.0152,26452.04819
120,1/1/2017 20:00,11.42,71.2,0.076,0.073,0.085,40283.5443,24919.14894,26469.39759
121,1/1/2017 20:10,11.69,71.1,0.078,0.091,0.104,40216.70886,25137.99392,26573.49398
122,1/1/2017 20:20,12.05,69.82,0.077,0.048,0.108,40477.97468,25437.08207,26434.6988
123,1/1/2017 20:30,11.87,69.98,0.076,0.051,0.093,40611.64557,25597.56839,26533.01205
124,1/1/2017 20:40,11.61,71.2,0.078,0.04,0.119,40435.44304,25706.99088,26515.66265
125,1/1/2017 20:50,11.5,72.0,0.078,0.07,0.078,40204.55696,25637.68997,26434.6988
126,1/1/2017 21:00,11.43,72.0,0.075,0.051,0.07,39584.81013,25396.96049,25966.26506
127,1/1/2017 21:10,11.29,72.2,0.075,0.051,0.119,39274.93671,25309.42249,25578.79518
128,1/1/2017 21:20,11.49,73.1,0.077,0.044,0.085,39141.26582,24900.91185,25607.71084
129,1/1/2017 21:30,12.24,70.1,0.077,0.073,0.089,38643.03797,24827.96353,25359.03614
130,1/1/2017 21:40,11.84,68.78,0.074,0.066,0.093,38011.13924,24455.92705,24971.56627
131,1/1/2017 21:50,12.2,68.78,0.074,0.066,0.122,37622.27848,24127.65957,24584.09639
132,1/1/2017 22:00,13.1,65.44,0.074,0.04,0.141,36953.92405,24000.0,23976.86747
133,1/1/2017 22:10,13.2,63.84,0.074,0.081,0.093,36394.93671,23872.34043,23415.90361
134,1/1/2017 22:20,13.18,63.97,0.075,0.081,0.093,35289.11392,23306.99088,22698.79518
135,1/1/2017 22:30,12.64,66.77,0.072,0.044,0.141,34438.48101,22975.07599,22322.89157
136,1/1/2017 22:40,12.39,68.04,0.074,0.084,0.115,33678.98734,22489.9696,21813.9759
137,1/1/2017 22:50,12.24,69.18,0.077,0.059,0.119,33077.46835,21760.48632,21264.57831
246,1/2/2017 17:00,15.22,59.95,0.076,142.6,175.0,32390.88608,21198.78419,18026.0241
247,1/2/2017 17:10,15.17,61.92,0.076,119.9,148.2,33685.06329,22008.51064,19836.14458
248,1/2/2017 17:20,15.02,62.32,0.076,98.7,123.7,35659.74684,23908.81459,22791.3253
249,1/2/2017 17:30,14.9,61.82,0.079,77.5,98.6,38187.34177,25783.58663,24144.57831
250,1/2/2017 17:40,14.81,61.79,0.078,58.1,75.3,40648.10127,26764.74164,24734.45783
251,1/2/2017 17:50,14.68,62.05,0.079,22.4,25.24,41565.56962,27195.13678,25156.62651
252,1/2/2017 18:00,14.54,64.02,0.074,11.04,11.2,41644.55696,27206.07903,25497.83133
253,1/2/2017 18:10,14.38,64.55,0.077,6.504,6.524,41814.68354,27114.89362,25497.83133
254,1/2/2017 18:20,14.23,65.55,0.076,3.071,3.089,41766.07595,26888.7538,25526.74699
255,1/2/2017 18:30,14.11,65.79,0.081,0.933,0.946,41753.92405,26950.75988,25520.96386
256,1/2/2017 18:40,14.03,66.72,0.074,0.143,0.189,41808.60759,26979.93921,25382.16867
257,1/2/2017 18:50,13.95,67.52,0.074,0.037,0.119,41699.24051,26786.62614,25619.27711
258,1/2/2017 19:00,13.87,68.59,0.075,0.066,0.1,41280.0,26731.91489,25659.75904
259,1/2/2017 19:10,13.74,69.46,0.074,0.081,0.093,41583.79747,26888.7538,25636.62651
260,1/2/2017 19:20,13.55,69.9,0.076,0.029,0.104,41851.13924,27045.59271,25567.22892
261,1/2/2017 19:30,13.43,69.86,0.076,0.04,0.108,41608.10127,26874.16413,25538.31325
262,1/2/2017 19:40,13.35,69.86,0.076,0.073,0.078,41395.44304,26866.8693,25411.08434
263,1/2/2017 19:50,13.2,70.5,0.076,0.055,0.122,41273.92405,26739.20973,25457.3494
264,1/2/2017 20:00,13.42,68.89,0.073,0.055,0.096,40939.74684,26531.30699,25353.25301
265,1/2/2017 20:10,13.55,68.12,0.077,0.055,0.074,41249.62025,26881.45897,25723.37349
266,1/2/2017 20:20,13.42,68.52,0.075,0.055,0.093,41316.4557,26921.58055,25937.3494
267,1/2/2017 20:30,13.3,69.03,0.075,0.055,0.093,41182.78481,26859.57447,25630.84337
268,1/2/2017 20:40,13.33,68.72,0.076,0.066,0.108,41061.26582,26808.51064,25549.87952
269,1/2/2017 20:50,13.45,68.59,0.075,0.066,0.122,40830.37975,26691.79331,25659.75904
270,1/2/2017 21:00,13.47,66.99,0.074,0.048,0.078,40830.37975,26564.13374,25619.27711
271,1/2/2017 21:10,13.29,66.99,0.075,0.051,0.067,40356.4557,26316.10942,25630.84337
272,1/2/2017 21:20,13.15,66.42,0.078,0.055,0.093,39797.46835,26082.67477,25162.40964
273,1/2/2017 21:30,13.03,66.62,0.074,0.07,0.085,39116.96203,25710.6383,24879.03614
